,Model,Make,Transmission,Engine,Year,KM,Price,Owner
242,HyundaiEon,MAGNA PLUS Manual,Manual,Petrol,2016,"41,675 km","₹2,89,899",3rd Owner
243,Hyundaii20Active,1.2 S Manual,Manual,Petrol,2015,"59,078 km","₹5,17,899",2nd Owner
244,MarutiAlto800,LXI Manual,Manual,Petrol,2017,"69,430 km","₹2,87,999",1st Owner
245,HyundaiElitei20,1.2 MAGNA PLUS VTVT ,,Petrol,2019,"11,855 km","₹6,01,199",2nd Owner
246,MarutiCelerio,VXI Manual,Manual,Petrol,2018,"53,793 km","₹4,20,799",1st Owner
247,MarutiSwift,VXI AMT Automatic,Automatic,Petrol,2019,"24,697 km","₹6,45,099",1st Owner
248,MarutiSwift,VXI Manual,Manual,Petrol,2019,"14,448 km","₹6,33,299",1st Owner
249,VolkswagenPolo,HIGHLINE1.2L PETROL Manual,Manual,Petrol,2015,"57,417 km","₹4,65,699",2nd Owner
250,HyundaiVerna,1.6 SX+ VTVT AT Automatic,Automatic,Petrol,2019,"6,260 km","₹10,93,199",2nd Owner
251,FordFigoAspire,1.2 TITANIUM PETROL Manual,Manual,Petrol,2018,"11,818 km","₹6,37,199",1st Owner
252,Hyundaii20,SPORTZ 1.2 VTVT Manual,Manual,Petrol,2013,"70,271 km","₹3,95,999",2nd Owner
253,HyundaiGrandi10,MAGNA 1.2 KAPPA VTVT Manual,Manual,Petrol,2018,"32,373 km","₹5,04,899",1st Owner
254,MarutiSwift,VXI OPT Manual,Manual,Petrol,2016,"51,487 km","₹4,89,799",1st Owner
255,FordFigoAspire,1.2 TITANIUM PETROL Manual,Manual,Petrol,2018,"20,192 km","₹6,03,599",1st Owner
256,HondaBR-V,1.5 i-VTEC V CVT Automatic,Automatic,Petrol,2017,"38,235 km","₹8,06,199",3rd Owner
257,HondaAmaze,1.2 V MT I-VTEC Manual,Manual,Petrol,2018,"17,180 km","₹6,60,799",1st Owner
258,HondaJazz,1.2 VX AT Automatic,Automatic,Petrol,2019,"4,355 km","₹9,49,699",1st Owner
259,MarutiSwift,LXI OPT Manual,Manual,Petrol,2016,"58,581 km","₹4,63,899",1st Owner
260,MarutiBaleno,DELTA 1.2 K12 Manual,Manual,Petrol,2016,"61,435 km","₹5,24,199",1st Owner
261,MarutiSwift,VXI Manual,Manual,Petrol,2017,"36,752 km","₹5,61,999",1st Owner
262,HyundaiGrandi10,ASTA 1.2 KAPPA VTVT Manual,Manual,Petrol,2014,"64,857 km","₹4,16,199",2nd Owner
263,HyundaiElitei20,SPORTZ (O) 1.2 Manual,Manual,Petrol,2015,"64,360 km","₹5,76,399",1st Owner
264,HyundaiGrandi10,SPORTS 1.2 AT VTVT Automatic,Automatic,Petrol,2018,"31,627 km","₹5,32,499",1st Owner
265,MarutiSwift,VXI Manual,Manual,Petrol,2019,"10,261 km","₹6,25,799",1st Owner
266,MarutiCelerio,VXI AMT Automatic,Automatic,Petrol,2014,"66,622 km","₹3,60,599",4th Owner
267,Hyundaii10,MAGNA 1.1 IRDE2 Manual,Manual,Petrol,2016,"59,780 km","₹4,13,599",1st Owner
268,NissanMicra,XL CVT (PETROL) Automatic,Automatic,Petrol,2015,"60,468 km","₹4,32,499",1st Owner
269,MarutiSwiftDzire,VXI 1.2 BS IV Manual,Manual,Petrol,2013,"64,654 km","₹4,16,399",1st Owner
270,HondaBrio,1.2 S MT I VTEC Manual,Manual,Petrol,2013,"63,007 km","₹3,03,999",2nd Owner
271,MarutiSwift,VXI Manual,Manual,Petrol,2019,"13,471 km","₹6,25,199",1st Owner
272,HondaCity,V MT PETROL Manual,Manual,Petrol,2015,"70,131 km","₹5,73,199",2nd Owner
273,HondaJazz,1.2 S MT Manual,Manual,Petrol,2018,"29,265 km","₹6,02,299",1st Owner
274,TataNEXON,XZA + 1.2 PETROL A/T Automatic,Automatic,Petrol,2018,"26,444 km","₹8,50,599",1st Owner
275,MarutiSwift,VXI Manual,Manual,Petrol,2017,"46,786 km","₹5,66,699",1st Owner
276,MarutiErtiga,VDI SHVS Manual,Manual,Diesel,2017,"37,958 km","₹8,30,799",1st Owner
277,MarutiVitaraBrezza,ZDI AMT Automatic,Automatic,Diesel,2019,"5,647 km","₹10,65,399",1st Owner
278,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2019,"28,927 km","₹4,67,899",1st Owner
279,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2015,"65,229 km","₹3,70,899",1st Owner
280,HyundaiElitei20,ASTA 1.2 DUAL TONE Manual,Manual,Petrol,2017,"50,031 km","₹6,20,899",2nd Owner
281,HyundaiElitei20,SPORTZ 1.2 Manual,Manual,Petrol,2015,"47,238 km","₹5,04,899",2nd Owner
282,MarutiCelerio,VXI Manual,Manual,Petrol,2016,"62,433 km","₹3,52,999",1st Owner
283,HyundaiElitei20,SPORTZ 1.2 Manual,Manual,Petrol,2016,"58,684 km","₹5,42,299",2nd Owner
284,MarutiSwiftDzire,VDI BS IV Manual,Manual,Diesel,2015,"74,575 km","₹4,96,399",1st Owner
285,MarutiSwift,VXI Manual,Manual,Petrol,2019,"1,890 km","₹6,33,399",2nd Owner
286,MarutiBaleno,ZETA 1.2 K12 CVT Automatic,Automatic,Petrol,2016,"53,571 km","₹6,19,599",1st Owner
287,MarutiBaleno,DELTA 1.2 K12 Manual,Manual,Petrol,2017,"47,186 km","₹5,35,699",2nd Owner
288,HyundaiElitei20,ASTA 1.2 Manual,Manual,Petrol,2017,"36,416 km","₹5,91,499",1st Owner
289,MarutiCelerio,ZXI AMT Automatic,Automatic,Petrol,2016,"57,563 km","₹4,18,999",1st Owner
290,MarutiAlto800,LXI Manual,Manual,Petrol,2018,"34,457 km","₹3,35,999",2nd Owner
291,HyundaiVerna,1.6 SX VTVT Manual,Manual,Petrol,2018,"35,859 km","₹9,79,799",1st Owner
292,Hyundaii20,MAGNA O 1.2 Manual,Manual,Petrol,2013,"83,006 km","₹3,56,999",3rd Owner
293,MahindraXUV500,W6 AT Automatic,Automatic,Diesel,2016,"27,043 km","₹10,59,799",1st Owner
294,HyundaiElitei20,MAGNA 1.2 Manual,Manual,Petrol,2016,"52,129 km","₹5,46,799",1st Owner
295,MarutiAlto800,LXI Manual,Manual,Petrol,2015,"60,562 km","₹2,60,799",1st Owner
296,MarutiAlto800,LXI Manual,Manual,Petrol,2015,"61,643 km","₹2,83,499",1st Owner
297,MarutiSwiftDzire,VDI BS IV Manual,Manual,Diesel,2014,"83,907 km","₹4,77,899",1st Owner
298,HondaJazz,1.2 VX AT ,,Petrol,2019,"5,183 km","₹9,51,199",1st Owner
299,MarutiAlto800,LXI Manual,Manual,Petrol,2016,"59,197 km","₹2,84,899",1st Owner
300,HyundaiElitei20,SPORTZ 1.2 Manual,Manual,Petrol,2016,"53,820 km","₹5,49,099",1st Owner
301,MarutiCelerio,ZXI AMT Automatic,Automatic,Petrol,2017,"54,780 km","₹4,46,799",1st Owner
302,HyundaiGrandi10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,Petrol,2016,"68,788 km","₹4,60,199",2nd Owner
303,MarutiAlto800,VXI Manual,Manual,Petrol,2017,"74,463 km","₹3,38,499",1st Owner
304,RenaultKwid,RXT 1.0 EASY-R AT OPTION Automatic,Automatic,Petrol,2019,"34,972 km","₹4,53,199",1st Owner
305,VolkswagenPolo,COMFORTLINE 1.2L PETROL Manual,Manual,Petrol,2013,"77,021 km","₹3,49,099",2nd Owner
306,MarutiDzire,VDI AMT Automatic,Automatic,Diesel,2017,"45,121 km","₹7,10,299",1st Owner
307,VolkswagenVento,HIGHLINE PETROL Manual,Manual,Petrol,2018,"19,139 km","₹7,92,299",1st Owner
308,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2015,"78,823 km","₹3,75,599",1st Owner
309,Hyundaii10,SPORTZ 1.2 KAPPA2 Manual,Manual,Petrol,2013,"74,657 km","₹3,14,499",3rd Owner
310,HondaAmaze,1.2 V CVT I VTEC ,,Petrol,2018,"29,177 km","₹6,75,899",1st Owner
311,HyundaiEon,ERA PLUS Manual,Manual,Petrol,2017,"50,665 km","₹3,52,499",2nd Owner
312,MarutiErtiga,VDI SHVS Manual,Manual,Diesel,2017,"14,614 km","₹8,59,199",1st Owner
313,TataHexa,Varicor 400 XT Manual,Manual,Diesel,2019,"34,262 km","₹18,43,499",1st Owner
314,MarutiSwift,VDI Manual,Manual,Diesel,2013,"88,137 km","₹4,19,999",2nd Owner
315,MarutiBaleno,DELTA 1.2 K12 Manual,Manual,Petrol,2018,"47,586 km","₹5,86,499",1st Owner
316,MarutiVitaraBrezza,VDI Manual,Manual,Diesel,2019,"24,368 km","₹8,62,299",1st Owner
317,MarutiAltoK10,VXI Manual,Manual,Petrol,2016,"61,676 km","₹3,04,799",1st Owner
318,HondaJazz,1.5 S MT Manual,Manual,Diesel,2017,"5,632 km","₹5,29,799",2nd Owner
319,MarutiVitaraBrezza,ZDI PLUS Manual,Manual,Diesel,2018,"34,396 km","₹8,60,399",1st Owner
320,MarutiSwiftDzire,VDI BS IV Manual,Manual,Diesel,2014,"80,315 km","₹4,81,599",1st Owner
321,MarutiIGNIS,DELTA 1.2 K12 Manual,Manual,Petrol,2018,"63,423 km","₹5,51,699",1st Owner
322,MarutiAStar,VXI Manual,Manual,Petrol,2013,"75,162 km","₹2,79,299",1st Owner
323,MarutiSwift,VDI Manual,Manual,Diesel,2015,"93,564 km","₹4,50,099",1st Owner
324,MarutiSwift,VXI Manual,Manual,Petrol,2017,"60,464 km","₹5,56,099",1st Owner
325,HyundaiElitei20,ASTA 1.4 CRDI Manual,Manual,Diesel,2015,"77,957 km","₹5,03,999",2nd Owner
326,MarutiVitaraBrezza,ZDI PLUS DUAL TONE Manual,Manual,Diesel,2017,"53,498 km","₹8,43,699",1st Owner
327,MarutiBaleno,ZETA 1.2 K12 Manual,Manual,Petrol,2016,"27,960 km","₹5,94,799",2nd Owner
328,HyundaiVerna,1.6 SX VTVT AT (O) Automatic,Automatic,Petrol,2018,"26,281 km","₹9,95,399",1st Owner
329,HondaBR-V,1.5 i-VTEC VX Manual,Manual,Petrol,2016,"93,157 km","₹6,79,199",2nd Owner
330,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2017,"82,239 km","₹4,03,399",1st Owner
331,HyundaiGrandi10,ASTA 1.2 KAPPA VTVT Manual,Manual,Petrol,2018,"54,187 km","₹5,15,199",1st Owner
332,VolkswagenPolo,HIGHLINE1.2L PETROL Manual,Manual,Petrol,2017,"82,331 km","₹5,45,299",1st Owner
333,MarutiSwift,VDI ABS Manual,Manual,Diesel,2016,"73,401 km","₹5,04,999",1st Owner
334,MarutiDzire,ZDI Plus AMT Automatic,Automatic,Diesel,2017,"76,040 km","₹6,53,799",1st Owner
335,MarutiSwift,VDI AMT Automatic,Automatic,Diesel,2018,"66,411 km","₹6,36,499",1st Owner
336,MarutiDzire,VDI AMT Automatic,Automatic,Diesel,2017,"66,343 km","₹6,00,699",1st Owner
337,HyundaiGrandi10,SPORTZ O 1.2 Manual,Manual,Petrol,2018,"47,614 km","₹4,98,899",1st Owner
338,HyundaiElitei20,ASTA 1.2 (O) Manual,Manual,Petrol,2017,"61,695 km","₹6,45,399",1st Owner
339,MarutiSCross,SIGMA SHVS Manual,Manual,Diesel,2019,"20,110 km","₹8,91,899",1st Owner
340,MarutiSwift,VXI Manual,Manual,Petrol,2016,"72,059 km","₹5,16,099",1st Owner
341,MarutiAlto800,VXI Manual,Manual,Petrol,2018,"72,301 km","₹3,57,899",1st Owner
342,HyundaiCreta,1.6 SX VTVT Manual,Manual,Petrol,2018,"60,276 km","₹10,34,899",1st Owner
343,HyundaiElitei20,1.4 CRDI ASTA (O) Manual,Manual,Diesel,2017,"65,655 km","₹6,68,199",1st Owner
344,HondaCity,V MT PETROL Manual,Manual,Petrol,2015,"79,725 km","₹5,68,899",3rd Owner
345,MahindraXylo,H4 ABS BS IV Manual,Manual,Diesel,2017,"63,953 km","₹6,89,999",1st Owner
346,MarutiSwiftDzire,VDI BS IV Manual,Manual,Diesel,2014,"76,652 km","₹4,64,599",1st Owner
347,TataHexa,Varicor 400 XT Manual,Manual,Diesel,2019,"46,337 km","₹17,96,099",1st Owner
348,HondaCity,SV MT PETROL Manual,Manual,Petrol,2017,"68,719 km","₹7,05,599",1st Owner
349,HyundaiElitei20,ASTA 1.2 (O) Manual,Manual,Petrol,2018,"53,273 km","₹6,70,799",1st Owner
350,MarutiVitaraBrezza,ZDI PLUS Manual,Manual,Diesel,2018,"48,151 km","₹9,48,099",1st Owner
351,VolkswagenPolo,HIGHLINE1.2L PETROL Manual,Manual,Petrol,2016,"94,161 km","₹5,54,399",1st Owner
352,MarutiWagonR1.0,VXI OPT AMT Automatic,Automatic,Petrol,2016,"72,804 km","₹4,60,399",1st Owner
353,FordEcosport,1.5AMBIENTE TI VCT Manual,Manual,Petrol,2015,"85,750 km","₹5,34,299",1st Owner
354,MarutiErtiga,VXI Manual,Manual,Petrol,2013,"86,720 km","₹5,31,399",1st Owner
355,HyundaiElitei20,SPORTZ 1.2 Manual,Manual,Petrol,2016,"81,412 km","₹5,55,799",1st Owner
356,MarutiSwift,VXI Manual,Manual,Petrol,2015,"86,119 km","₹4,49,399",2nd Owner
357,HyundaiGrandi10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,Petrol,2016,"77,847 km","₹4,28,699",1st Owner
358,MarutiAlto800,LXI Manual,Manual,Petrol,2013,"84,015 km","₹2,21,799",3rd Owner
359,MarutiBaleno,DELTA DDIS 190 Manual,Manual,Diesel,2016,"83,205 km","₹5,36,699",2nd Owner
360,MahindraTUV300,T8 Manual,Manual,Diesel,2016,"82,252 km","₹6,32,499",1st Owner
361,MarutiSwiftDzire,VDI BS IV Manual,Manual,Diesel,2013,"85,672 km","₹4,12,899",2nd Owner
362,VolkswagenPolo,TRENDLINE 1.5L DIESEL Manual,Manual,Diesel,2014,"87,035 km","₹4,16,699",2nd Owner
363,MarutiSwiftDzire,LDI BS IV Manual,Manual,Diesel,2013,"95,428 km","₹4,10,199",1st Owner
364,HyundaiCreta,1.6 SX CRDI ,,Diesel,2017,"1,23,713 km","₹8,71,299",2nd Owner
365,HyundaiElitei20,ASTA 1.2 Manual,Manual,Petrol,2015,"79,674 km","₹5,50,999",1st Owner
366,MarutiSCross,ZETA 1.3 Manual,Manual,Diesel,2016,"1,03,019 km","₹6,29,299",3rd Owner
367,HyundaiElitei20,ASTA 1.2 (O) Manual,Manual,Petrol,2016,"81,583 km","₹5,81,399",1st Owner
368,MarutiRitz,VXI BS IV Manual,Manual,Petrol,2013,"86,707 km","₹3,57,399",1st Owner
369,HondaCity,V MT PETROL Manual,Manual,Petrol,2017,"81,387 km","₹7,62,199",1st Owner
370,MarutiSwiftDzire,VXI 1.2 BS IV Manual,Manual,Petrol,2013,"84,775 km","₹4,30,799",1st Owner
371,HyundaiElitei20,SPORTZ 1.2 Manual,Manual,Petrol,2016,"67,425 km","₹5,64,499",1st Owner
372,MahindraTUV300,T 10 MT Dual Tone ,,Diesel,2018,"89,421 km","₹7,22,899",1st Owner
373,MarutiSCross,DELTA 1.3 Manual,Manual,Diesel,2016,"81,558 km","₹6,29,599",1st Owner
374,MarutiCiaz,ALPHA 1.5 AT VTVT SHVS ,,Petrol,2019,"43,775 km","₹8,59,699",1st Owner
375,MarutiCelerio,VXI AMT Automatic,Automatic,Petrol,2015,"70,423 km","₹3,76,599",1st Owner
376,MarutiSwiftDzire,VDI ABS ,,Diesel,2015,"95,763 km","₹5,09,699",1st Owner
377,MarutiCiaz,ALPHA 1.4 VVT Manual,Manual,Petrol,2017,"89,981 km","₹6,60,799",1st Owner
378,Hyundaii10,MAGNA 1.2 KAPPA2 Manual,Manual,Petrol,2013,"92,104 km","₹3,13,899",2nd Owner
379,FordEcosport,1.5TITANIUM TDCI Manual,Manual,Diesel,2015,"97,862 km","₹5,88,299",1st Owner
380,FordEcosport,1.5 TITANIUMTDCI OPT Manual,Manual,Diesel,2016,"97,408 km","₹5,87,599",1st Owner
381,HondaAmaze,1.5 EXMT I DTEC Manual,Manual,Diesel,2014,"1,06,819 km","₹3,91,399",1st Owner
382,HyundaiElitei20,ASTA 1.4 CRDI Manual,Manual,Diesel,2014,"94,243 km","₹5,35,899",1st Owner
383,HyundaiElitei20,ASTA 1.4 CRDI Manual,Manual,Diesel,2016,"1,01,736 km","₹5,84,899",1st Owner
384,FordEcosport,1.5 TDCI TITANIUM PLUS Manual,Manual,Diesel,2017,"89,694 km","₹7,14,899",2nd Owner
385,MarutiErtiga,ZDI Manual,Manual,Diesel,2013,"82,386 km","₹5,56,299",1st Owner
386,HyundaiVerna,FLUIDIC 1.6 SX CRDI OPT Manual,Manual,Diesel,2014,"95,959 km","₹6,20,199",1st Owner
387,MahindraTUV300,T8 Manual,Manual,Diesel,2016,"1,10,265 km","₹6,33,999",1st Owner
388,MarutiSwiftDzire,VXI 1.2 BS IV Manual,Manual,Petrol,2015,"1,05,026 km","₹4,48,899",1st Owner
389,MarutiSwiftDzire,VXI 1.2 BS IV Manual,Manual,Petrol,2013,"1,05,555 km","₹4,24,699",2nd Owner
390,HyundaiCreta,1.6 CRDI SX PLUS AUTO Automatic,Automatic,Diesel,2016,"1,08,259 km","₹9,14,199",1st Owner
391,VolkswagenPolo,COMFORTLINE 1.2L DIESEL Manual,Manual,Diesel,2013,"1,02,496 km","₹3,09,099",2nd Owner
392,MarutiSwiftDzire,VDI BS IV Manual,Manual,Diesel,2013,"1,19,674 km","₹4,42,399",1st Owner
393,HyundaiElitei20,ASTA 1.4 CRDI Manual,Manual,Diesel,2014,"74,476 km","₹5,68,599",1st Owner
394,MarutiNewWagon-R,ZXI 1.2 Manual,Manual,Petrol,2019,"84,012 km","₹4,90,099",1st Owner
395,HyundaiCreta,1.6 CRDI SX PLUS AUTO Automatic,Automatic,Diesel,2015,"81,864 km","₹8,32,299",1st Owner
396,MarutiVitaraBrezza,ZDI Manual,Manual,Diesel,2017,"99,381 km","₹7,21,399",1st Owner
397,HyundaiCreta,1.6 SX CRDI ,,Diesel,2017,"1,12,774 km","₹8,96,899",1st Owner
398,HyundaiElitei20,ASTA 1.4 CRDI Manual,Manual,Diesel,2015,"1,19,913 km","₹5,40,499",1st Owner
399,MarutiVitaraBrezza,VDI Manual,Manual,Diesel,2016,"83,813 km","₹6,25,799",1st Owner
400,MarutiSwift,VXI Manual,Manual,Petrol,2015,"1,19,927 km","₹4,27,499",1st Owner
401,RenaultDuster,RXZ DIESEL 110 Manual,Manual,Diesel,2013,"93,129 km","₹5,91,399",1st Owner
402,FordEcosport,1.5 TITANIUM TI VCT AT Automatic,Automatic,Petrol,2014,"1,35,385 km","₹5,21,699",1st Owner
403,MarutiSwift,VXI Manual,Manual,Petrol,2018,"75,890 km","₹6,09,899",1st Owner
404,VolkswagenVento,HIGHLINE DIESEL Manual,Manual,Diesel,2016,"1,04,708 km","₹5,38,399",2nd Owner
405,HyundaiGrandi10,1.2 ASTA (O) AT Automatic,Automatic,Petrol,2016,"95,872 km","₹4,97,199",1st Owner
406,MarutiSwiftDzire,ZDI Manual,Manual,Diesel,2013,"1,99,145 km","₹3,90,399",1st Owner
407,ToyotaInnovaCrysta,2.4 ZX 7 STR Manual,Manual,Diesel,2016,"2,76,979 km","₹14,93,499",1st Owner
408,MarutiSwiftDzire,VDI BS IV Manual,Manual,Diesel,2013,"1,62,266 km","₹4,23,499",1st Owner
409,NissanTerrano,XV D THP PREMIUM 110 PS Manual,Manual,Diesel,2015,"1,53,233 km","₹4,91,199",1st Owner
410,HyundaiTucsonNew,2WD AT GLS DIESEL Automatic,Automatic,Diesel,2016,"1,32,269 km","₹11,96,699",1st Owner
411,FordEcosport,1.5 TITANIUM TI VCT AT Automatic,Automatic,Petrol,2015,"1,24,096 km","₹5,36,099",1st Owner
412,MarutiSwift,VDI ABS Manual,Manual,Diesel,2016,"1,46,889 km","₹4,80,899",1st Owner
413,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2014,"1,14,075 km","₹3,35,499",1st Owner
414,Hyundaii10,MAGNA 1.1 IRDE2 Manual,Manual,Petrol,2014,"1,48,169 km","₹3,16,999",1st Owner
415,Hyundaii20Active,1.2 S Manual,Manual,Petrol,2016,"1,36,089 km","₹5,04,399",1st Owner
416,HyundaiElitei20,ASTA 1.4 CRDI Manual,Manual,Diesel,2014,"1,04,390 km","₹5,37,799",1st Owner
417,RenaultDuster,85 PS RXE Manual,Manual,Diesel,2013,"1,73,978 km","₹4,50,699",3rd Owner
418,HyundaiXcent,S 1.2 Manual,Manual,Petrol,2015,"2,34,911 km","₹3,54,199",1st Owner
419,HyundaiCreta,1.6 SX PLUS VTVT Manual,Manual,Petrol,2016,"1,27,733 km","₹7,70,499",1st Owner
420,MahindraXUV500,W10 Manual,Manual,Diesel,2016,"1,63,495 km","₹11,14,199",1st Owner
421,MarutiSwift,ZDI AMT Automatic,Automatic,Diesel,2018,"1,13,765 km","₹6,47,499",1st Owner
422,MarutiCelerio,ZXI AMT Automatic,Automatic,Petrol,2016,"1,48,728 km","₹4,14,799",1st Owner
423,RenaultLodgy,110 PS RXZ 8 STR Manual,Manual,Diesel,2015,"1,38,510 km","₹7,55,199",1st Owner
424,HyundaiCreta,1.6 BASE Manual,Manual,Petrol,2016,"1,82,203 km","₹5,95,599",1st Owner
425,MahindraXylo,H8 ABS AIRBAG BS IV Manual,Manual,Diesel,2017,"2,12,781 km","₹7,14,299",1st Owner
426,ToyotaInnova,2.5 GX 7 STR BS IV Manual,Manual,Diesel,2014,"1,23,683 km","₹10,29,899",1st Owner
427,VolkswagenPolo,HIGHLINE1.5L DIESEL Manual,Manual,Diesel,2016,"1,47,338 km","₹5,77,499",2nd Owner
428,ToyotaInnova,2.5 VX 7 STR BS IV Manual,Manual,Diesel,2013,"2,21,916 km","₹8,51,299",1st Owner
429,MarutiSwiftDzire,ZDI Manual,Manual,Diesel,2016,"1,66,618 km","₹5,97,899",1st Owner
430,FordEcosport,1.5 TITANIUM TI VCT AT Automatic,Automatic,Petrol,2016,"1,54,048 km","₹5,61,699",1st Owner
431,HyundaiGrandi10,MAGNA 1.2 KAPPA VTVT Manual,Manual,Petrol,2018,"4,241 km","₹5,19,199",1st Owner
432,MarutiAlto800,VXI Manual,Manual,Petrol,2014,"29,878 km","₹2,46,899",1st Owner
433,MarutiOMNIE,8 STR ,,Petrol,2017,"14,867 km","₹3,37,699",1st Owner
434,MarutiAltoK10,VXI Manual,Manual,Petrol,2013,"16,288 km","₹2,67,699",2nd Owner
435,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2014,"24,663 km","₹3,65,099",1st Owner
436,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2013,"35,140 km","₹3,61,999",1st Owner
437,HyundaiElitei20,ASTA 1.2 Manual,Manual,Petrol,2016,"34,329 km","₹5,91,199",2nd Owner
438,MarutiOMNIE,8 STR ,,Petrol,2017,"19,759 km","₹3,15,999",1st Owner
439,HyundaiEon,ERA PLUS Manual,Manual,Petrol,2013,"57,322 km","₹2,51,799",1st Owner
440,MarutiAltoK10,VXI AMT ,,Petrol,2016,"49,350 km","₹3,42,399",3rd Owner
441,MarutiAlto800,VXI Manual,Manual,Petrol,2014,"50,917 km","₹2,19,599",1st Owner
442,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2015,"45,929 km","₹3,56,099",1st Owner
443,FordEcosport,1.5TITANIUM TDCI Manual,Manual,Diesel,2018,"86,881 km","₹7,40,899",1st Owner
444,MarutiAltoK10,VXI Manual,Manual,Petrol,2013,"68,748 km","₹2,59,399",1st Owner
445,HyundaiElitei20,ASTA 1.2 (O) Manual,Manual,Petrol,2019,"23,881 km","₹7,53,499",1st Owner
446,MarutiAltoK10,VXI Manual,Manual,Petrol,2015,"60,384 km","₹2,86,499",2nd Owner
447,MarutiAlto800,LXI Manual,Manual,Petrol,2014,"65,487 km","₹2,29,199",1st Owner
448,MarutiCelerio,VXI AMT Automatic,Automatic,Petrol,2015,"64,404 km","₹3,79,399",1st Owner
449,HyundaiElitei20,ASTA 1.2 Manual,Manual,Petrol,2015,"78,971 km","₹5,32,499",3rd Owner
450,MarutiBaleno,ALPHA 1.2 K12 Manual,Manual,Petrol,2018,"58,598 km","₹6,39,699",1st Owner
451,FordEcosport,1.5TITANIUM TDCI Manual,Manual,Diesel,2013,"84,769 km","₹4,37,899",1st Owner
452,HyundaiCreta,1.6 SX CRDI ,,Diesel,2017,"97,959 km","₹9,04,599",1st Owner
453,HyundaiGrandi10,ASTA 1.2 (O) VTVT Manual,Manual,Petrol,2014,"9,395 km","₹4,62,699",1st Owner
454,Hyundaii10,MAGNA 1.1 IRDE2 Manual,Manual,Petrol,2014,"2,876 km","₹3,72,999",1st Owner
455,VolkswagenPolo,HIGHLINE1.2L PETROL Manual,Manual,Petrol,2016,"1,987 km","₹6,03,199",1st Owner
456,HyundaiElitei20,ASTA 1.2 Manual,Manual,Petrol,2014,"29,179 km","₹5,26,099",1st Owner
457,HyundaiGrandi10,MAGNA 1.2 VTVT Manual,Manual,Petrol,2015,"16,026 km","₹4,31,099",1st Owner
458,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2015,"26,260 km","₹3,39,799",2nd Owner
459,MarutiAlto800,LXI Manual,Manual,Petrol,2017,"2,260 km","₹3,28,499",1st Owner
460,MarutiAlto800,LXI OPT Manual,Manual,Petrol,2018,"3,863 km","₹3,39,099",1st Owner
461,MarutiAltoK10,VXI AMT Automatic,Automatic,Petrol,2015,"26,376 km","₹3,33,499",2nd Owner
462,HyundaiEon,ERA PLUS Manual,Manual,Petrol,2016,"25,086 km","₹3,20,299",1st Owner
463,Hyundaii20,SPORTZ 1.2 VTVT Manual,Manual,Petrol,2013,"14,881 km","₹4,20,199",1st Owner
464,RenaultKwid,1.0 RXT Manual,Manual,Petrol,2016,"29,112 km","₹3,24,799",1st Owner
465,RenaultTRIBER,1.0 RXZ Manual,Manual,Petrol,2020,"8,561 km","₹6,48,499",1st Owner
466,MarutiIGNIS,ALPHA 1.2 K12 DUAL TONE Manual,Manual,Petrol,2017,"17,062 km","₹4,57,699",1st Owner
467,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2015,"19,815 km","₹3,10,399",2nd Owner
468,MarutiSwift,LXI OPT Manual,Manual,Petrol,2016,"10,560 km","₹4,95,699",1st Owner
469,MarutiNewWagon-R,VXI 1.2L ,,Petrol,2019,"10,762 km","₹5,42,899",1st Owner
470,VolkswagenAmeo,HIGHLINE PLUS 1.0 Manual,Manual,Petrol,2018,"18,112 km","₹5,53,399",1st Owner
471,MarutiSwift,VXI Manual,Manual,Petrol,2015,"29,962 km","₹4,87,999",1st Owner
472,HyundaiGrandi10,SPORTS 1.2 VTVT Manual,Manual,Petrol,2014,"46,161 km","₹4,06,199",1st Owner
473,Hyundaii10,MAGNA 1.1 IRDE2 Manual,Manual,Petrol,2014,"35,571 km","₹3,37,699",1st Owner
474,MarutiBaleno,DELTA 1.2 K12 AT Automatic,Automatic,Petrol,2018,"23,653 km","₹5,85,399",1st Owner
475,HondaJazz,1.2 SV MT Manual,Manual,Petrol,2016,"21,601 km","₹5,33,199",2nd Owner
476,HyundaiVerna,FLUIDIC 1.6 VTVT SX AT Automatic,Automatic,Petrol,2014,"53,081 km","₹5,31,499",1st Owner
477,TataTiago,XZ 1.2 REVOTRON Manual,Manual,Petrol,2016,"44,449 km","₹3,93,599",1st Owner
478,TataTiago,XZ 1.2 REVOTRON Manual,Manual,Petrol,2018,"15,346 km","₹5,14,399",1st Owner
479,FiatGrandPunto,ACTIVE 1.3 Manual,Manual,Diesel,2014,"46,804 km","₹2,67,199",3rd Owner
