,Model,Make,Transmission,Engine,Year,KM,Price,Owner
60,RenaultKwid,RXT 1.0 EASY-R AT OPTION Automatic,Automatic,Petrol,2018,"16,906 km","₹4,05,199",2nd Owner
61,MarutiAlto800,LXI Manual,Manual,Petrol,2019,"10,336 km","₹3,59,299",1st Owner
62,Hyundaii10,SPORTZ 1.1 IRDE2 Manual,Manual,Petrol,2015,"40,503 km","₹3,88,399",1st Owner
63,MarutiAlto800,VXI Manual,Manual,Petrol,2018,"20,711 km","₹3,75,599",1st Owner
64,Hyundaii10,MAGNA 1.1 IRDE2 Manual,Manual,Petrol,2016,"28,477 km","₹3,96,599",2nd Owner
65,MarutiSwift,VXI Manual,Manual,Petrol,2017,"16,944 km","₹6,15,299",1st Owner
66,HondaBrio,1.2 S MT I VTEC Manual,Manual,Petrol,2013,"49,299 km","₹3,27,199",2nd Owner
67,MarutiAlto800,LXI Manual,Manual,Petrol,2018,"17,986 km","₹3,50,699",1st Owner
68,MarutiAlto800,VXI Manual,Manual,Petrol,2018,"17,703 km","₹3,62,999",2nd Owner
69,MarutiOMNIE,8 STR ,,Petrol,2018,"15,762 km","₹3,13,799",1st Owner
70,MarutiAltoK10,VXI Manual,Manual,Petrol,2017,"36,539 km","₹3,18,899",2nd Owner
71,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2016,"32,196 km","₹3,96,899",1st Owner
72,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2020,"8,721 km","₹4,99,599",1st Owner
73,MarutiAlto800,LXI Manual,Manual,Petrol,2017,"25,712 km","₹3,08,699",1st Owner
74,HyundaiNEWSANTRO,1.1 SPORTS AMT ,,Petrol,2018,"11,119 km","₹5,66,399",1st Owner
75,MarutiSwiftDzire,VXI 1.2 BS IV Manual,Manual,Petrol,2014,"18,020 km","₹4,81,699",1st Owner
76,MarutiAlto800,LXI Manual,Manual,Petrol,2018,"7,431 km","₹3,39,399",1st Owner
77,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2013,"30,782 km","₹3,53,499",1st Owner
78,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2013,"50,429 km","₹3,41,899",1st Owner
79,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2018,"20,780 km","₹4,09,099",1st Owner
80,Hyundaii10,MAGNA 1.1 IRDE2 Manual,Manual,Petrol,2016,"26,280 km","₹4,08,699",1st Owner
81,MarutiWagonR1.0,VXI PLUS AMT Automatic,Automatic,Petrol,2018,"16,640 km","₹4,87,599",1st Owner
82,MarutiWagonR1.0,VXI OPT AMT Automatic,Automatic,Petrol,2017,"19,552 km","₹5,06,599",1st Owner
83,MarutiAlto800,LXI OPT Manual,Manual,Petrol,2018,"21,679 km","₹3,21,699",1st Owner
84,HyundaiEon,MAGNA PLUS Manual,Manual,Petrol,2015,"40,102 km","₹2,91,099",1st Owner
85,HyundaiElitei20,MAGNA 1.2 Manual,Manual,Petrol,2015,"49,067 km","₹4,69,999",1st Owner
86,MarutiOMNIE,8 STR Manual,Manual,Petrol,2017,"27,387 km","₹2,89,799",1st Owner
87,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2019,"7,018 km","₹4,58,499",1st Owner
88,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2019,"9,891 km","₹4,48,899",1st Owner
89,MarutiAlto800,VXI Manual,Manual,Petrol,2018,"7,765 km","₹3,50,199",1st Owner
90,FordNewFigo,1.2 TITANIUM Manual,Manual,Petrol,2017,"19,376 km","₹5,24,499",1st Owner
91,HondaJazz,VX  1.2 Manual,Manual,Petrol,2017,"11,440 km","₹5,96,399",1st Owner
92,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2018,"6,145 km","₹4,12,399",1st Owner
93,MarutiAlto800,LXI OPT Manual,Manual,Petrol,2018,"9,670 km","₹3,20,399",1st Owner
94,HyundaiElitei20,Magna Executive 1.2 Manual,Manual,Petrol,2018,"17,880 km","₹6,29,499",1st Owner
95,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2013,"48,821 km","₹3,52,699",1st Owner
96,MarutiAlto800,LXI Manual,Manual,Petrol,2018,"19,805 km","₹3,46,799",1st Owner
97,MarutiCelerio,VXI Manual,Manual,Petrol,2014,"46,780 km","₹3,65,699",1st Owner
98,MarutiSwiftDzire,VXI 1.2 BS IV Manual,Manual,Petrol,2013,"41,318 km","₹4,30,999",2nd Owner
99,HyundaiNEWSANTRO,SPORTZ 1.1 Manual,Manual,Petrol,2019,"11,529 km","₹4,97,199",1st Owner
100,HyundaiElitei20,SPORTZ 1.2 Manual,Manual,Petrol,2014,"45,421 km","₹4,74,999",2nd Owner
101,HondaJazz,1.2 SV MT Manual,Manual,Petrol,2018,"27,869 km","₹5,78,899",1st Owner
102,Hyundaii10,MAGNA 1.1 IRDE2 Manual,Manual,Petrol,2014,"49,378 km","₹3,50,199",1st Owner
103,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2020,"3,351 km","₹4,73,299",1st Owner
104,HyundaiGrandi10,SPORTZ (O) 1.2 AT VTVT Manual,Manual,Petrol,2017,"24,297 km","₹5,51,199",1st Owner
105,MarutiOMNIE,8 STR ,,Petrol + LPG,2017,"26,568 km","₹3,27,499",1st Owner
106,MarutiAltoK10,VXI Manual,Manual,Petrol,2014,"41,920 km","₹2,84,599",1st Owner
107,HondaAmaze,1.2 SMT I VTEC Manual,Manual,Petrol,2019,"25,356 km","₹6,31,399",1st Owner
108,HyundaiGrandi10,MAGNA AT 1.2 KAPPA VTVT Automatic,Automatic,Petrol,2018,"12,345 km","₹5,57,599",1st Owner
109,MarutiBaleno,ZETA 1.2 K12 Manual,Manual,Petrol,2016,"37,783 km","₹6,22,699",1st Owner
110,TataTiago,XZ 1.2 REVOTRON Manual,Manual,Petrol,2016,"42,986 km","₹4,16,199",1st Owner
111,MarutiAlto800,LXI OPT Manual,Manual,Petrol,2018,"23,268 km","₹3,46,299",1st Owner
112,MarutiAlto800,VXI Manual,Manual,Petrol,2016,"34,151 km","₹2,79,399",2nd Owner
113,VolkswagenPolo,COMFORTLINE 1.2L PETROL Manual,Manual,Petrol,2017,"44,883 km","₹4,44,699",2nd Owner
114,HyundaiGrandi10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,Petrol,2018,"16,300 km","₹5,75,199",1st Owner
115,MarutiSwift,VXI Manual,Manual,Petrol,2015,"40,987 km","₹4,66,699",1st Owner
116,MarutiIGNIS,DELTA 1.2 K12 AMT Automatic,Automatic,Petrol,2019,"12,620 km","₹5,71,899",1st Owner
117,MarutiCelerio,VXI AMT Automatic,Automatic,Petrol,2016,"42,413 km","₹4,18,299",1st Owner
118,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2013,"52,259 km","₹3,40,799",2nd Owner
119,MarutiSwiftDzire,VXI 1.2 BS IV Manual,Manual,Petrol,2013,"53,876 km","₹4,32,199",2nd Owner
120,HyundaiEon,ERA PLUS (O) Manual,Manual,Petrol,2017,"35,527 km","₹3,35,999",1st Owner
121,HondaBrio,1.2 VX MT I VTEC Manual,Manual,Petrol,2016,"56,493 km","₹3,99,399",1st Owner
122,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2017,"24,401 km","₹4,25,599",1st Owner
123,HyundaiElitei20,ASTA 1.2 (O) Manual,Manual,Petrol,2016,"30,742 km","₹6,10,999",1st Owner
124,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2019,"15,497 km","₹4,67,399",1st Owner
125,HyundaiElitei20,Magna Executive 1.2 Manual,Manual,Petrol,2018,"13,547 km","₹6,36,999",1st Owner
126,NissanMicraActive,XL(O) Manual,Manual,Petrol,2018,"11,938 km","₹5,07,999",1st Owner
127,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2020,"7,284 km","₹4,91,999",1st Owner
128,MarutiIGNIS,DELTA 1.2 K12 Manual,Manual,Petrol,2019,"19,564 km","₹5,36,799",1st Owner
129,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2020,"1,289 km","₹4,82,199",1st Owner
130,MarutiAlto800,LXI Manual,Manual,Petrol,2016,"41,120 km","₹2,77,599",2nd Owner
131,HyundaiNEWSANTRO,1.1 SPORTS AMT Automatic,Automatic,Petrol,2019,"7,696 km","₹5,67,099",1st Owner
132,MarutiIGNIS,DELTA 1.2 K12 Manual,Manual,Petrol,2018,"9,716 km","₹5,44,699",1st Owner
133,MarutiSwiftDzire,VXI 1.2 BS IV Manual,Manual,Petrol,2013,"43,991 km","₹4,65,699",1st Owner
134,HyundaiElitei20,MAGNA 1.2 Manual,Manual,Petrol,2016,"14,452 km","₹5,62,399",1st Owner
135,HyundaiEon,ERA PLUS Manual,Manual,Petrol,2016,"36,422 km","₹3,02,099",1st Owner
136,HondaJazz,VX  1.2 Manual,Manual,Petrol,2017,"38,330 km","₹5,47,099",2nd Owner
137,MarutiSPRESSO,VXI PLUS Manual,Manual,Petrol,2019,"18,436 km","₹4,10,599",1st Owner
138,HyundaiGrandi10,MAGNA 1.2 KAPPA VTVT Manual,Manual,Petrol,2017,"33,960 km","₹4,47,599",1st Owner
139,TataTiago,XZ 1.2 REVOTRON Manual,Manual,Petrol,2018,"9,776 km","₹5,33,899",1st Owner
140,HyundaiEon,MAGNA PLUS Manual,Manual,Petrol,2016,"42,946 km","₹2,86,299",2nd Owner
141,MarutiAltoK10,VXI Manual,Manual,Petrol,2015,"51,629 km","₹2,90,899",2nd Owner
142,HyundaiGrandi10,MAGNA 1.2 VTVT Manual,Manual,Petrol,2018,"19,410 km","₹4,87,899",1st Owner
143,MarutiBaleno,DELTA 1.2 K12 Manual,Manual,Petrol,2018,"28,264 km","₹6,04,999",2nd Owner
144,MarutiAltoK10,VXI Manual,Manual,Petrol,2014,"45,043 km","₹2,61,599",2nd Owner
145,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2013,"50,366 km","₹3,69,399",1st Owner
146,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2019,"25,091 km","₹4,66,799",1st Owner
147,HyundaiGrandi10,MAGNA 1.2 VTVT Manual,Manual,Petrol,2013,"57,716 km","₹3,67,799",2nd Owner
148,MarutiOMNIE,STD ,,Petrol,2018,"11,041 km","₹2,99,499",1st Owner
149,MarutiAlto800,LXI Manual,Manual,Petrol,2016,"55,293 km","₹2,71,699",1st Owner
150,MarutiSwift,VXI Manual,Manual,Petrol,2014,"3,600 km","₹4,48,999",1st Owner
151,HyundaiGrandi10,MAGNA 1.2 KAPPA VTVT Manual,Manual,Petrol,2015,"50,398 km","₹4,16,599",2nd Owner
152,HyundaiGrandi10,ASTA 1.2 AT VTVT Automatic,Automatic,Petrol,2015,"41,689 km","₹4,80,099",1st Owner
153,HyundaiElitei20,SPORTZ 1.2 Manual,Manual,Petrol,2017,"31,006 km","₹6,32,499",1st Owner
154,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2019,"15,028 km","₹4,51,399",1st Owner
155,MarutiAlto800,LXI Manual,Manual,Petrol,2013,"58,171 km","₹2,63,499",2nd Owner
156,MarutiDzire,VXI Manual,Manual,Petrol,2018,"16,693 km","₹6,75,699",1st Owner
157,HyundaiElitei20,SPORTZ 1.2 Manual,Manual,Petrol,2017,"31,886 km","₹5,96,299",1st Owner
158,HyundaiGrandi10,ASTA 1.2 KAPPA VTVT OPT Manual,Manual,Petrol,2016,"45,345 km","₹4,71,299",2nd Owner
159,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2019,"20,162 km","₹4,67,899",1st Owner
160,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2014,"67,678 km","₹3,43,099",2nd Owner
161,HyundaiGrandi10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,Petrol,2018,"21,790 km","₹5,19,999",2nd Owner
162,MarutiAlto800,LXI Manual,Manual,Petrol,2017,"35,253 km","₹3,16,499",1st Owner
163,HyundaiElitei20,MAGNA 1.2 Manual,Manual,Petrol,2015,"55,425 km","₹5,41,499",1st Owner
164,MahindraTUV300,T8 Manual,Manual,Diesel,2016,"51,530 km","₹6,53,899",1st Owner
165,MarutiCelerio,VXI Manual,Manual,Petrol,2015,"48,794 km","₹3,44,099",2nd Owner
166,MahindraTUV300,T8 Manual,Manual,Diesel,2015,"56,469 km","₹6,49,299",1st Owner
167,MarutiSwift,VXI OPT Manual,Manual,Petrol,2017,"23,798 km","₹5,26,699",1st Owner
168,MarutiSwiftDzire,VDI BS IV Manual,Manual,Diesel,2016,"46,150 km","₹5,86,099",1st Owner
169,HyundaiGrandi10,1.2 KAPPA SPORTZ (O) Manual,Manual,Petrol,2017,"35,002 km","₹4,76,599",1st Owner
170,HyundaiGrandi10,MAGNA 1.2 KAPPA VTVT Manual,Manual,Petrol,2017,"8,643 km","₹5,03,199",1st Owner
171,MarutiAlto800,VXI Manual,Manual,Petrol,2016,"50,541 km","₹2,74,399",2nd Owner
172,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2013,"57,595 km","₹3,46,499",2nd Owner
173,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2019,"18,775 km","₹4,73,899",1st Owner
174,MarutiCelerio,ZXI AMT Automatic,Automatic,Petrol,2016,"43,766 km","₹4,42,899",1st Owner
175,MarutiIGNIS,DELTA 1.2 K12 Manual,Manual,Petrol,2019,"10,937 km","₹5,70,699",1st Owner
176,HyundaiNEWSANTRO,1.1 SPORTS AMT Manual,Manual,Petrol,2018,"31,012 km","₹5,52,299",1st Owner
177,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2020,"9,375 km","₹4,24,799",1st Owner
178,MarutiSwift,VXI Manual,Manual,Petrol,2017,"35,330 km","₹5,43,099",1st Owner
179,MarutiIGNIS,DELTA 1.2 K12 Manual,Manual,Petrol,2019,"17,283 km","₹5,96,799",1st Owner
180,MarutiAlto800,VXI Manual,Manual,Petrol,2018,"13,741 km","₹3,37,899",1st Owner
181,HyundaiElitei20,ERA 1.2 Manual,Manual,Petrol,2018,"25,870 km","₹5,73,499",2nd Owner
182,MarutiBaleno,DELTA 1.2 K12 Manual,Manual,Petrol,2019,"14,938 km","₹6,66,199",1st Owner
183,MarutiCelerio,ZXI Manual,Manual,Petrol,2015,"51,864 km","₹4,01,099",1st Owner
184,MarutiBaleno,DELTA 1.2 K12 Manual,Manual,Petrol,2016,"43,630 km","₹5,98,499",1st Owner
185,MarutiSwift,VDI Manual,Manual,Diesel,2013,"67,328 km","₹4,13,999",2nd Owner
186,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2018,"35,927 km","₹4,44,999",1st Owner
187,HondaCity,V MT PETROL Manual,Manual,Petrol,2017,"34,425 km","₹8,14,299",1st Owner
188,HondaJazz,VX  1.2 Manual,Manual,Petrol,2019,"6,815 km","₹7,36,199",1st Owner
189,TataTiago,XZ 1.2 REVOTRON Manual,Manual,Petrol,2017,"54,117 km","₹4,03,999",2nd Owner
190,MarutiAltoK10,VXI OPT Manual,Manual,Petrol,2018,"35,899 km","₹3,57,199",1st Owner
191,HyundaiElitei20,Magna Executive 1.2 Manual,Manual,Petrol,2018,"33,908 km","₹5,95,399",1st Owner
192,MarutiSwift,VXI Manual,Manual,Petrol,2019,"25,719 km","₹6,28,299",1st Owner
193,MarutiAlto800,LXI Manual,Manual,Petrol,2018,"29,975 km","₹2,80,999",2nd Owner
194,MarutiSwiftDzire,VXI 1.2 BS IV Manual,Manual,Petrol,2013,"61,514 km","₹4,12,999",3rd Owner
195,MarutiCelerio,VXI (O) Manual,Manual,Petrol,2017,"42,636 km","₹4,34,099",1st Owner
196,HyundaiNEWSANTRO,1.1 SPORTS AMT ,,Petrol,2019,"3,243 km","₹5,50,299",1st Owner
197,HondaMobilio,1.5 V I DTEC Manual,Manual,Diesel,2014,"78,595 km","₹4,75,299",1st Owner
